chinese,english,status,source
一波未平，一波又起,suffer a string of reverses,VERIFIED,PETCI
一败涂地,suffer a crushing defeat,VERIFIED,PETCI
一般见识,lower oneself to the same level as somebody else,VERIFIED,PETCI
一板三眼,following a prescribed pattern in speech or action,VERIFIED,PETCI
一本正经,put on a solemn look,VERIFIED,PETCI
一本万利,make big profits with a small capital,VERIFIED,PETCI
一笔抹杀,wipe out with one stroke of the pen,VERIFIED,PETCI
一笔勾销,cancelled with one stroke of the pen,VERIFIED,PETCI
一鼻孔出气,be in tune with,VERIFIED,PETCI
一臂之力,a helping hand,VERIFIED,PETCI
一步登天,have a meteoric rise,VERIFIED,PETCI
一不做，二不休,"once it is started, go through with it",VERIFIED,PETCI
一拍即合,fit in readily,VERIFIED,PETCI
一抔黃土,mere dust heaps,VERIFIED,PETCI
一盘散沙,lacking a spirit of cooperation,VERIFIED,PETCI
一贫如洗,penniless,VERIFIED,PETCI
一曝十寒,work hard for one day and do nothing for ten warm for one day and cold for ten days,VERIFIED,PETCI
一模一样,exactly alike,VERIFIED,PETCI
一马当先,take the lead,VERIFIED,PETCI
一马平川,a wide expanse of flat land,VERIFIED,PETCI
一脉相承,of the same school,VERIFIED,PETCI
一毛不拔,miserly,VERIFIED,PETCI
一面之词,one-sided statement,VERIFIED,PETCI
一面之交,have met only once,VERIFIED,PETCI
一鸣惊人,rocket to fame,VERIFIED,PETCI
一命呜呼,kick the bucket,VERIFIED,PETCI
一目了然,understand fully at a glance,VERIFIED,PETCI
一目十行,take in ten lines at one glance,VERIFIED,PETCI
一发千钧,by the skin of one's teeth,VERIFIED,PETCI
一帆风顺,plain sailing,VERIFIED,PETCI
一反常态,act out of character,VERIFIED,PETCI
一得之功,"just an occasional, minor success",VERIFIED,PETCI
一得之愚,my humble opinion -,VERIFIED,PETCI
一刀两断,make a clean break,VERIFIED,PETCI
一塌刮子,the sum total,VERIFIED,PETCI
一塌糊涂,in a complete mess,VERIFIED,PETCI
一潭死水,"a stagnated, dull atmosphere",VERIFIED,PETCI
一团和气,an easygoing atmosphere,VERIFIED,PETCI
一念之差,a momentary slip,VERIFIED,PETCI
一诺千金,a solemn promise,VERIFIED,PETCI
一劳永逸,put things right once and for ail,VERIFIED,PETCI
一览无余,take in everything at a glance,VERIFIED,PETCI
一了百了,death ends all one's troubles,VERIFIED,PETCI
一鳞半爪,odd bits / fragments,VERIFIED,PETCI
一路平安,have a good trip,VERIFIED,PETCI
一落千丈,suffer a sudden decline,VERIFIED,PETCI
一改故辙,rid oneself of an old habit,VERIFIED,PETCI
一概而论,put in the same category,VERIFIED,PETCI
一干二净,spick-and-span,VERIFIED,PETCI
一鼓作气,get something done in one vigorous effort,VERIFIED,PETCI
一国三公,divided leadership,VERIFIED,PETCI
一棍子打死,finish off with a single blow,VERIFIED,PETCI
一刻千金,every moment is precious,VERIFIED,PETCI
一孔之见,a narrow view,VERIFIED,PETCI
一哄而散,disperse after making a noise,VERIFIED,PETCI
一呼百诺,have hundreds at one's beck and call,VERIFIED,PETCI
一呼百应,an appeal meets with immediate response,VERIFIED,PETCI
一挥而就,be done with one stroke of the pen,VERIFIED,PETCI
一技之长,speciality,VERIFIED,PETCI
一见钟情,fall in love at first sight,VERIFIED,PETCI
一箭双雕,kill two birds with one stone,VERIFIED,PETCI
一见如故,become fast friends at the first meeting,VERIFIED,PETCI
一举两得,achieve two things at one stroke,VERIFIED,PETCI
一举成名,achieve instant fame,VERIFIED,PETCI
一蹶不振,fail utterly,VERIFIED,PETCI
一决雌雄,have a showdown with,VERIFIED,PETCI
一气呵成,form a coherent whole,VERIFIED,PETCI
一窍不通,not to know the first thing,VERIFIED,PETCI
一丘之貉,jackals of the same lair,VERIFIED,PETCI
一钱不值,utterly worthless,VERIFIED,PETCI
一清二楚,completely clear,VERIFIED,PETCI
一去不复返,gone forever,VERIFIED,PETCI
一穷二白,backward both economically and culturally,VERIFIED,PETCI
一息尚存,as long as one lives,VERIFIED,PETCI
一蟹不如一蟹,from bad to worse,VERIFIED,PETCI
一泻千里,forceful and flowing,VERIFIED,PETCI
一笑置之,laugh off,VERIFIED,PETCI
一心一德,be at one,VERIFIED,PETCI
一心一意,wholeheartedly,VERIFIED,PETCI
一厢情愿,wishful thinking,VERIFIED,PETCI
一知半解,superficial knowledge,VERIFIED,PETCI
一纸空文,empty words on a sheet of paper,VERIFIED,PETCI
一掷千金,spend money extravagantly,VERIFIED,PETCI
一朝被蛇咬，十年怕井绳,"once bitten, twice shy",VERIFIED,PETCI
一朝一夕,overnight,VERIFIED,PETCI
一枕黄粱,a brief dream of grandeur,VERIFIED,PETCI
一针见血,hit the nail on the head,VERIFIED,PETCI
一张一弛,strike a proper balance between work and rest,VERIFIED,PETCI
一着不慎，满盘皆输,one careless move and the whole game is lost,VERIFIED,PETCI
一差二错,possible mistake or mishap,VERIFIED,PETCI
一筹莫展,be at one's wits' end,VERIFIED,PETCI
一尘不染,spotless,VERIFIED,PETCI
一唱百和,chime in with others,VERIFIED,PETCI
一唱一和,sing the same tune,VERIFIED,PETCI
一成不变,be set in one's ways,VERIFIED,PETCI
一触即发,touch-and-go,VERIFIED,PETCI
一触即溃,collapse at the first encounter,VERIFIED,PETCI
一视同仁,treat all alike without discrimination,VERIFIED,PETCI
一失足成千古恨,a single slip may cause lasting sorrow,VERIFIED,PETCI
一事无成,get nowhere,VERIFIED,PETCI
一手包办,take everything on oneself,VERIFIED,PETCI
一手遮天,hoodwink the public,VERIFIED,PETCI
一身是胆,know no fear,VERIFIED,PETCI
一日千里,by leaps and bounds,VERIFIED,PETCI
一日三秋,miss somebody very much,VERIFIED,PETCI
一人得道，鸡犬升天,"when a man gets to the top, all his friends and relations get there with him.",VERIFIED,PETCI
一人难如千人意,one man con hardly meet the wishes of everybody,VERIFIED,PETCI
一人传虚，万人传实,one man tells an idle story and it becomes fact in the mouths of ten thousand,VERIFIED,PETCI
一如既往,as always,VERIFIED,PETCI
一字千金,one character is worth a thousand ounces of gold,VERIFIED,PETCI
一则以喜，一则以惧,feel both joy and fear,VERIFIED,PETCI
一蹴而就,succeed overnight,VERIFIED,PETCI
一寸丹心,a loyal heart,VERIFIED,PETCI
一寸光阴一寸金,time is money,VERIFIED,PETCI
一丝不苟,scrupulous about every detail,VERIFIED,PETCI
一丝不挂,be stark-naked,VERIFIED,PETCI
一丝一毫,the slightest,VERIFIED,PETCI
一扫而空,swept clean at one attempt,VERIFIED,PETCI
一而再，再而三,again and again,VERIFIED,PETCI
一衣带水,a narrow strip of water,VERIFIED,PETCI
一意孤行,go one's own way,VERIFIED,PETCI
一叶知秋,it is a straw in the wind,VERIFIED,PETCI
一叶障目，不见泰山,have one's view of the important overshadowed by the trivial,VERIFIED,PETCI
一言难尽,mere words cannot fully express it,VERIFIED,PETCI
一言既出，驷马难追,what is said cannot be unsaid,VERIFIED,PETCI
一言以蔽之,make a long story short,VERIFIED,PETCI
一言为定,a bargain is a bargain,VERIFIED,PETCI
一无可取,good-for-nothing,VERIFIED,PETCI
一物降一物,everything has its vanquisher,VERIFIED,PETCI
一无是处,without a single redeeming feature,VERIFIED,PETCI
一误再误,make one error after another,VERIFIED,PETCI
一无所知,know nothing about,VERIFIED,PETCI
一无所长,be a Jack of all trades,VERIFIED,PETCI
一无所有,not have a thing to one's name,VERIFIED,PETCI
一五一十,narrate systematically and in full detail,VERIFIED,PETCI
一文不值,not worth the paper on which it is written,VERIFIED,PETCI
一问三不知,be entirely ignorant,VERIFIED,PETCI
一网打尽,round up the whole gang at one fell / swoop,VERIFIED,PETCI
一往情深,passionately devoted to,VERIFIED,PETCI
一望而知,very obvious,VERIFIED,PETCI
一望无际,boundless,VERIFIED,PETCI
一往无前,forge ahead,VERIFIED,PETCI
一语破的,come to the point,VERIFIED,PETCI
一语道破,get to the heart of the matter in a few words,VERIFIED,PETCI
七拼八凑,rig up,VERIFIED,PETCI
七颠八倒,in great confusion,VERIFIED,PETCI
七零八落,scattered here and there,VERIFIED,PETCI
七窍生烟,foam with rage,VERIFIED,PETCI
七长八短,of uneven size,VERIFIED,PETCI
七手八脚,too many cooks,VERIFIED,PETCI
七上八下,be agitated,VERIFIED,PETCI
七嘴八舌,all talking at once,VERIFIED,PETCI
三番五次,again and again,VERIFIED,PETCI
三头六臂,with three heads and six arms - superhuman,VERIFIED,PETCI
三天打鱼，两天晒网,lack of perseverance,VERIFIED,PETCI
三令五申,repeated orders and instructions,VERIFIED,PETCI
三个臭皮匠，胜过一个诸葛亮,two heads are better than one,VERIFIED,PETCI
三顾茅庐,repeated a whole-hearted invitation,VERIFIED,PETCI
三句话不离本行,talk shop a the time,VERIFIED,PETCI
三心二意,undecided,VERIFIED,PETCI
三长两短,"something unfortunate, especially death",VERIFIED,PETCI
三十六计，走为上策,the best thing to do now is to quit,VERIFIED,PETCI
三生有幸,consider oneself most fortunate,VERIFIED,PETCI
三人行必有我师,"if three of us are walking together, there will certainly be a teacher for me",VERIFIED,PETCI
三足鼎立,divided into three opposing parts,VERIFIED,PETCI
三寸不烂之舌,a silver tongue,VERIFIED,PETCI
三思而行,look before you leap,VERIFIED,PETCI
三三两两,in twos end threes,VERIFIED,PETCI
三言两语,in a few words,VERIFIED,PETCI
三五成群,in threes and fours,VERIFIED,PETCI
三位一体,three in one,VERIFIED,PETCI
上不着天，下不着地,be suspended in mid-air,VERIFIED,PETCI
上天无路，入地无门,"helpless, nowhere to turn",VERIFIED,PETCI
上梁不正下梁歪,people follow the example of those in high positions,VERIFIED,PETCI
上下其手,practise fraud,VERIFIED,PETCI
上行下效,"if a leader sets up a bad example, it will be followed by his subordinates",VERIFIED,PETCI
上谄下骄,snobbish,VERIFIED,PETCI
上蹿下跳,run clandestine errands up and down the line,VERIFIED,PETCI
上无片瓦，下无插针之地,as poor as a church mouse,VERIFIED,PETCI
下笔千言，离题万里,write quickly but stray from the theme,VERIFIED,PETCI
下不为例,not to be repeated,VERIFIED,PETCI
下马看花,on-the-spot investigation,VERIFIED,PETCI
下里巴人,popular literature or art,VERIFIED,PETCI
下车伊始,the moment one takes up one's official post,VERIFIED,PETCI
不败之地,invincible position,VERIFIED,PETCI
不白之冤,unrighted wrong,VERIFIED,PETCI
不辨菽麦,have no knowledge of practical matters,VERIFIED,PETCI
不破不立,"without destroying the old, one cannot build the new",VERIFIED,PETCI
不偏不倚,even-handed,VERIFIED,PETCI
不平则鸣,"where there is injustice, there will be an outcry",VERIFIED,PETCI
不毛之地,barren land,VERIFIED,PETCI
不谋而合,happen to hold the same view,VERIFIED,PETCI
不明不白,inexplicable,VERIFIED,PETCI
不名一文,penniless,VERIFIED,PETCI
不乏其人,no lack of such people,VERIFIED,PETCI
不费吹灰之力,easy as ABC,VERIFIED,PETCI
不分彼此,share everything,VERIFIED,PETCI
不分皂白,make no distinction between black and white,VERIFIED,PETCI
不打不成相识,"no discord, no concord",VERIFIED,PETCI
不违农时,do farm work in the right time,VERIFIED,PETCI
不打自招,a self-confession,VERIFIED,PETCI
不到黄河心不死,not give up till coming to a dead end,VERIFIED,PETCI
不得人心,be unpopular,VERIFIED,PETCI
不得要领,unable to make heads or tails of something,VERIFIED,PETCI
不登大雅之堂,in bad taste,VERIFIED,PETCI
不动声色,stay calm and collected,VERIFIED,PETCI
不痛不痒,superficial,VERIFIED,PETCI
不同凡响,out of the ordinary,VERIFIED,PETCI
不能自拔,be inescapably caught in,VERIFIED,PETCI
不念旧恶,forget old grudges,VERIFIED,PETCI
不宁唯是,that isn't all,VERIFIED,PETCI
不劳而获,profit by other people's toil,VERIFIED,PETCI
不郎不秀,worthless,VERIFIED,PETCI
不了了之,leave in status quo,VERIFIED,PETCI
不吝指教,not spare your comments,VERIFIED,PETCI
不露声色,keep a straight face,VERIFIED,PETCI
不落窠臼,leave the beaten track,VERIFIED,PETCI
不伦不类,neither rhyme nor reason,VERIFIED,PETCI
不苟言笑,quiet and reserved,VERIFIED,PETCI
不甘后人,hate to be outdone,VERIFIED,PETCI
不甘示弱,yield no ground,VERIFIED,PETCI
不敢越雷池一步,keep within bounds,VERIFIED,PETCI
不过尔尔,just so-so,VERIFIED,PETCI
不管三七二十一,come what may,VERIFIED,PETCI
不共戴天,absolutely irreconcilable,VERIFIED,PETCI
不攻自破,collapse of itself,VERIFIED,PETCI
不可偏废,without neglecting either,VERIFIED,PETCI
不可磨灭,will endure for centuries,VERIFIED,PETCI
不可多得,hard to come by,VERIFIED,PETCI
不可同日而语,there is no comparison between the two,VERIFIED,PETCI
不可理喻,will not listen to reason,VERIFIED,PETCI
不可开交,up to one's eyes,VERIFIED,PETCI
不可救药,incurable,VERIFIED,PETCI
不可企及,lag far behind,VERIFIED,PETCI
不可终日,be unable to carry on even for a single day,VERIFIED,PETCI
不可收拾,unmanageable,VERIFIED,PETCI
不可胜数,innumerable,VERIFIED,PETCI
不可思议,mysterious,VERIFIED,PETCI
不可一世,overbearing,VERIFIED,PETCI
不可言状,beyond description,VERIFIED,PETCI
不可逾越,cannot exceed the limit,VERIFIED,PETCI
不堪回首,cannot bear to think of the past,VERIFIED,PETCI
不堪设想,dare not imagine,VERIFIED,PETCI
不堪造就,unpromising,VERIFIED,PETCI
不堪一击,collapse at the first blow,VERIFIED,PETCI
不亢不卑,neither overbearing nor servile,VERIFIED,PETCI
不合时宜,incompatible with the present needs,VERIFIED,PETCI
不寒而栗,tremble with fear,VERIFIED,PETCI
不欢而散,end on an unpleasant note,VERIFIED,PETCI
不即不离,keep somebody at arm's length,VERIFIED,PETCI
不计其数,countless,VERIFIED,PETCI
不急之务,a nonurgent business,VERIFIED,PETCI
不假思索,spur-of-the-moment,VERIFIED,PETCI
不骄不躁,be neither conceited nor rash,VERIFIED,PETCI
不见棺材不落泪,refuse to be convinced until one is faced with grim reality,VERIFIED,PETCI
不见经传,unknown,VERIFIED,PETCI
不近人情,unreasonable,VERIFIED,PETCI
不进则退,"move forward, or you'll fall behind",VERIFIED,PETCI
不经之谈,sheer nonsense,VERIFIED,PETCI
不胫而走,spread like wildfire,VERIFIED,PETCI
不经一事，不长一智,wisdom comes from experience,VERIFIED,PETCI
不拘小节,no stickler for formality,VERIFIED,PETCI
不拘一格,not conform to one pattern,VERIFIED,PETCI
不绝如缕,very precarious,VERIFIED,PETCI
不期然而然,turn out contrary to one's expectations,VERIFIED,PETCI
不期而遇,meet accidentally,VERIFIED,PETCI
不求甚解,be content with superficial understanding,VERIFIED,PETCI
不情之请,my presumptuous request,VERIFIED,PETCI
不屈不挠,with great fortitude,VERIFIED,PETCI
不屑一顾,not worth taking a look at,VERIFIED,PETCI
不肖子孙,unworthy descendants,VERIFIED,PETCI
不修边幅,be slovenly,VERIFIED,PETCI
不相上下,equally matched,VERIFIED,PETCI
不省人事,unconscious,VERIFIED,PETCI
不学无术,ignorant and incompetent,VERIFIED,PETCI
不知凡几,can't tell how many there are,VERIFIED,PETCI
不知天高地厚,have an exaggerated opinion of one's abilities,VERIFIED,PETCI
不知好歹,not to know good from bad,VERIFIED,PETCI
不知进退,have no sense of propriety,VERIFIED,PETCI
不知人间有羞耻事,lose all sense of shame,VERIFIED,PETCI
不知所措,be at a loss,VERIFIED,PETCI
不知所以,not know the reason why,VERIFIED,PETCI
不知所云,unintelligible,VERIFIED,PETCI
不折不扣,in full sense,VERIFIED,PETCI
不置可否,be noncommittal,VERIFIED,PETCI
不治之症,incurable disease,VERIFIED,PETCI
不着边际,irrelevant,VERIFIED,PETCI
不耻下问,not above asking questions,VERIFIED,PETCI
不成体统,unseemly,VERIFIED,PETCI
不时之需,things which may come in handy,VERIFIED,PETCI
不识大体,fail to see the larger issues,VERIFIED,PETCI
不识抬举,not know how to appreciate favours,VERIFIED,PETCI
不识时务,not familiar with the current situation,VERIFIED,PETCI
不衫不履,be sloppily dressed,VERIFIED,PETCI
不上不下,in a fix,VERIFIED,PETCI
不声不响,silently,VERIFIED,PETCI
不胜枚举,cannot be enumerated one by one,VERIFIED,PETCI
不胜其烦,unable to bear,VERIFIED,PETCI
不入虎穴，焉得虎子,"nothing ventured, nothing gained",VERIFIED,PETCI
不容置喙,not allow others to butt in,VERIFIED,PETCI
不容置疑,beyond the shadow of a doubt,VERIFIED,PETCI
不择手段,by hook or by crook,VERIFIED,PETCI
不在话下,needless to say,VERIFIED,PETCI
不足挂齿,of no importance,VERIFIED,PETCI
不足为凭,not to be taken as evidence,VERIFIED,PETCI
不足为奇,nothing surprising,VERIFIED,PETCI
不足为训,not worth learning from,VERIFIED,PETCI
不塞不流，不止不行,"there is no flowing without damming, and no motion without rest",VERIFIED,PETCI
不三不四,neither one thing nor the other,VERIFIED,PETCI
不速之客,an unexpected guest,VERIFIED,PETCI
不二法门,no other way,VERIFIED,PETCI
不亦乐乎,what a joy!,VERIFIED,PETCI
不易之论,unalterable truth,VERIFIED,PETCI
不义之财,ill-gotten wealth,VERIFIED,PETCI
不一而足,it is by no means an isolated case,VERIFIED,PETCI
不翼而飞,vanish all of a sudden,VERIFIED,PETCI
不以为然,disagree,VERIFIED,PETCI
不遗余力,do one's utmost,VERIFIED,PETCI
不由分说,without giving one the opportunity to explain,VERIFIED,PETCI
不由自主,cannot control oneself,VERIFIED,PETCI
不厌其烦,take great pains,VERIFIED,PETCI
不厌其详,not feel annoyed to tell in full detail,VERIFIED,PETCI
不言而喻,self-evident,VERIFIED,PETCI
不务空名,not seek empty fame,VERIFIED,PETCI
不无小补,be of some help,VERIFIED,PETCI
不务正业,not attend to one's proper business,VERIFIED,PETCI
不为已甚,not be too hard on somebody,VERIFIED,PETCI
不闻不问,turn a blind eye to,VERIFIED,PETCI
不约而同,act in concert,VERIFIED,PETCI
世态炎凉,"the way of the world, now hot, now cold",VERIFIED,PETCI
世世代代,from generation to generation,VERIFIED,PETCI
世上无难事，只怕有心人,"where there is a will, there is a way",VERIFIED,PETCI
世外桃源,away from the turmoil of the world,VERIFIED,PETCI
丢盔弃甲,run away helter-skelter,VERIFIED,PETCI
丢卒保车,give up a pawn to save a chariot,VERIFIED,PETCI
并驾齐驱,keep up with,VERIFIED,PETCI
并行不悖,parallel and not contrary to each other,VERIFIED,PETCI
中流砥柱,a tower of strength,VERIFIED,PETCI
中庸之道,middle course,VERIFIED,PETCI
串通一气,collaborate with,VERIFIED,PETCI
